"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-107.82","69.04","CAPE PEEL WEST","2400697","2020-01-14","2020","01","14","","-20.6","","-28.7","","-24.7","","42.7","","0.0","","","","","","","","","","32","","46",""
"-107.82","69.04","CAPE PEEL WEST","2400697","2020-01-15","2020","01","15","","-17.0","","-26.0","","-21.5","","39.5","","0.0","","","","","","","","","","31","","63",""
"-107.82","69.04","CAPE PEEL WEST","2400697","2020-01-16","2020","01","16","","-17.1","","-31.2","","-24.1","","42.1","","0.0","","","","","","","","","","30","","55",""
"-107.82","69.04","CAPE PEEL WEST","2400697","2020-01-17","2020","01","17","","-20.2","","-32.7","","-26.5","","44.5","","0.0","","","","","","","","","","30","","57",""
"-107.82","69.04","CAPE PEEL WEST","2400697","2020-01-18","2020","01","18","","-17.2","","-22.0","","-19.6","","37.6","","0.0","","","","","","","","","","29","","72",""
"-107.82","69.04","CAPE PEEL WEST","2400697","2020-01-19","2020","01","19","","-18.4","","-27.4","","-22.9","","40.9","","0.0","","","","","","","","","","31","","44",""
"-107.82","69.04","CAPE PEEL WEST","2400697","2020-01-20","2020","01","20","","-27.3","","-33.0","","-30.2","","48.2","","0.0","","","","","","","","","","","","",""
"-107.82","69.04","CAPE PEEL WEST","2400697","2020-01-21","2020","01","21","","-31.2","","-36.4","","-33.8","","51.8","","0.0","","","","","","","","","","","","",""
"-107.82","69.04","CAPE PEEL WEST","2400697","2020-01-22","2020","01","22","","-33.7","","-36.1","","-34.9","","52.9","","0.0","","","","","","","","","","","","",""
"-107.82","69.04","CAPE PEEL WEST","2400697","2020-01-23","2020","01","23","","-26.7","","-34.7","","-30.7","","48.7","","0.0","","","","","","","","","","","","",""
"-107.82","69.04","CAPE PEEL WEST","2400697","2020-01-24","2020","01","24","","-24.0","","-27.6","","-25.8","","43.8","","0.0","","","","","","","","","","","","",""
"-107.82","69.04","CAPE PEEL WEST","2400697","2020-01-25","2020","01","25","","-21.8","","-26.1","","-23.9","","41.9","","0.0","","","","","","","","","","12","","44",""
"-107.82","69.04","CAPE PEEL WEST","2400697","2020-01-26","2020","01","26","","-20.9","","-32.1","","-26.5","","44.5","","0.0","","","","","","","","","","34","","54",""
"-107.82","69.04","CAPE PEEL WEST","2400697","2020-01-27","2020","01","27","","-23.8","","-32.9","","-28.4","","46.4","","0.0","","","","","","","","","","11","","41",""
"-107.82","69.04","CAPE PEEL WEST","2400697","2020-01-28","2020","01","28","","-22.2","","-29.9","","-26.0","","44.0","","0.0","","","","","","","","","","33","","39",""
"-107.82","69.04","CAPE PEEL WEST","2400697","2020-01-29","2020","01","29","","-27.6","","-34.0","","-30.8","","48.8","","0.0","","","","","","","","","","33","","46",""
"-107.82","69.04","CAPE PEEL WEST","2400697","2020-01-30","2020","01","30","","","","","","","","","","","","","","","","","","","","","M","","M"
"-107.82","69.04","CAPE PEEL WEST","2400697","2020-01-31","2020","01","31","","","","","","","","","","","","","","","","","","","","","M","","M"
"-107.82","69.04","CAPE PEEL WEST","2400697","2020-02-01","2020","02","01","","-27.9","","-32.3","","-30.1","","48.1","","0.0","","","","","","","","","","","","",""
"-107.82","69.04","CAPE PEEL WEST","2400697","2020-02-02","2020","02","02","","-28.2","","-35.2","","-31.7","","49.7","","0.0","","","","","","","","","","34","","33",""
"-107.82","69.04","CAPE PEEL WEST","2400697","2020-02-03","2020","02","03","","-32.9","","-36.7","","-34.8","","52.8","","0.0","","","","","","","","","","33","","31",""
"-107.82","69.04","CAPE PEEL WEST","2400697","2020-02-04","2020","02","04","","-36.1","","-39.8","","-38.0","","56.0","","0.0","","","","","","","","","","33","","31",""
"-107.82","69.04","CAPE PEEL WEST","2400697","2020-02-05","2020","02","05","","-31.7","","-37.8","","-34.7","","52.7","","0.0","","","","","","","","","","","","",""
"-107.82","69.04","CAPE PEEL WEST","2400697","2020-02-06","2020","02","06","","-24.8","","-34.9","","-29.9","","47.9","","0.0","","","","","","","","","","35","","39",""
"-107.82","69.04","CAPE PEEL WEST","2400697","2020-02-07","2020","02","07","","-32.3","","-37.4","","-34.9","","52.9","","0.0","","","","","","","","","","34","","35",""
"-107.82","69.04","CAPE PEEL WEST","2400697","2020-02-08","2020","02","08","","-28.8","","-36.5","","-32.6","","50.6","","0.0","","","","","","","","","","32","","65",""
"-107.82","69.04","CAPE PEEL WEST","2400697","2020-02-09","2020","02","09","","-33.0","","-37.5","","-35.3","","53.3","","0.0","","","","","","","","","","32","","46",""
"-107.82","69.04","CAPE PEEL WEST","2400697","2020-02-10","2020","02","10","","-34.6","","-40.8","","-37.7","","55.7","","0.0","","","","","","","","","","","","",""
"-107.82","69.04","CAPE PEEL WEST","2400697","2020-02-11","2020","02","11","","-30.9","","-39.3","","-35.1","","53.1","","0.0","","","","","","","","","","32","","65",""
"-107.82","69.04","CAPE PEEL WEST","2400697","2020-02-12","2020","02","12","","-32.3","","-33.7","","-33.0","","51.0","","0.0","","","","","","","","","","","M","","M"
"-107.82","69.04","CAPE PEEL WEST","2400697","2020-02-13","2020","02","13","","-33.5","","-37.8","","-35.6","","53.6","","0.0","","","","","","","","","","34","","50",""
"-107.82","69.04","CAPE PEEL WEST","2400697","2020-02-14","2020","02","14","","-31.8","","-36.3","","-34.1","","52.1","","0.0","","","","","","","","","","34","","61",""
"-107.82","69.04","CAPE PEEL WEST","2400697","2020-02-15","2020","02","15","","-26.3","","-31.8","","-29.1","","47.1","","0.0","","","","","","","","","","33","","57",""
"-107.82","69.04","CAPE PEEL WEST","2400697","2020-02-16","2020","02","16","","-24.2","","-27.9","","-26.0","","44.0","","0.0","","","","","","","","","","33","","70",""
"-107.82","69.04","CAPE PEEL WEST","2400697","2020-02-17","2020","02","17","","-26.9","","-29.0","","-28.0","","46.0","","0.0","","","","","","","","","","33","","68",""
"-107.82","69.04","CAPE PEEL WEST","2400697","2020-02-18","2020","02","18","","-23.9","","-30.3","","-27.1","","45.1","","0.0","","","","","","","","","","31","","42",""
"-107.82","69.04","CAPE PEEL WEST","2400697","2020-02-19","2020","02","19","","-28.0","","-34.5","","-31.2","","49.2","","0.0","","","","","","","","","","7","","31",""
"-107.82","69.04","CAPE PEEL WEST","2400697","2020-02-20","2020","02","20","","-26.2","","-33.3","","-29.8","","47.8","","0.0","","","","","","","","","","7","","63",""
"-107.82","69.04","CAPE PEEL WEST","2400697","2020-02-21","2020","02","21","","-31.0","","-35.6","","-33.3","","51.3","","0.0","","","","","","","","","","36","","35",""
"-107.82","69.04","CAPE PEEL WEST","2400697","2020-02-22","2020","02","22","","-25.5","","-33.9","","-29.7","","47.7","","0.0","","","","","","","","","","","","",""
"-107.82","69.04","CAPE PEEL WEST","2400697","2020-02-23","2020","02","23","","-24.0","","-30.2","","-27.1","","45.1","","0.0","","","","","","","","","","","","",""
"-107.82","69.04","CAPE PEEL WEST","2400697","2020-02-24","2020","02","24","","-25.8","","-31.9","","-28.9","","46.9","","0.0","","","","","","","","","","","","",""
"-107.82","69.04","CAPE PEEL WEST","2400697","2020-02-25","2020","02","25","","-22.9","","-26.9","","-24.9","","42.9","","0.0","","","","","","","","","","","","",""
"-107.82","69.04","CAPE PEEL WEST","2400697","2020-02-26","2020","02","26","","-25.1","","-32.8","","-28.9","","46.9","","0.0","","","","","","","","","","","","",""
"-107.82","69.04","CAPE PEEL WEST","2400697","2020-02-27","2020","02","27","","-28.5","","-33.3","","-30.9","","48.9","","0.0","","","","","","","","","","","","",""
"-107.82","69.04","CAPE PEEL WEST","2400697","2020-02-28","2020","02","28","","-32.1","","-37.4","","-34.7","","52.7","","0.0","","","","","","","","","","35","","46",""
"-107.82","69.04","CAPE PEEL WEST","2400697","2020-02-29","2020","02","29","","-30.6","","-36.2","","-33.4","","51.4","","0.0","","","","","","","","","","","","",""
"-107.82","69.04","CAPE PEEL WEST","2400697","2020-03-01","2020","03","01","","-30.7","","-36.0","","-33.3","","51.3","","0.0","","","","","","","","","","","","",""
"-107.82","69.04","CAPE PEEL WEST","2400697","2020-03-02","2020","03","02","","-29.8","","-38.0","","-33.9","","51.9","","0.0","","","","","","","","","","","","",""
"-107.82","69.04","CAPE PEEL WEST","2400697","2020-03-03","2020","03","03","","-37.6","","-41.7","","-39.7","","57.7","","0.0","","","","","","","","","","35","","35",""
"-107.82","69.04","CAPE PEEL WEST","2400697","2020-03-04","2020","03","04","","-35.4","","-40.6","","-38.0","","56.0","","0.0","","","","","","","","","","7","","39",""
"-107.82","69.04","CAPE PEEL WEST","2400697","2020-03-05","2020","03","05","","-34.7","","-40.1","","-37.4","","55.4","","0.0","","","","","","","","","","30","","42",""
"-107.82","69.04","CAPE PEEL WEST","2400697","2020-03-06","2020","03","06","","-39.8","","-43.6","","-41.7","","59.7","","0.0","","","","","","","","","","","M","","M"
"-107.82","69.04","CAPE PEEL WEST","2400697","2020-03-07","2020","03","07","","-34.0","","-42.3","","-38.2","","56.2","","0.0","","","","","","","","","","33","","46",""
"-107.82","69.04","CAPE PEEL WEST","2400697","2020-03-08","2020","03","08","","-29.5","","-39.9","","-34.7","","52.7","","0.0","","","","","","","","","","","","",""
"-107.82","69.04","CAPE PEEL WEST","2400697","2020-03-09","2020","03","09","","-25.6","","-32.4","","-29.0","","47.0","","0.0","","","","","","","","","","","M","","M"
"-107.82","69.04","CAPE PEEL WEST","2400697","2020-03-10","2020","03","10","","-31.9","","-36.7","","-34.3","","52.3","","0.0","","","","","","","","","","32","","31",""
"-107.82","69.04","CAPE PEEL WEST","2400697","2020-03-11","2020","03","11","","-34.9","","-38.6","","-36.7","","54.7","","0.0","","","","","","","","","","36","","31",""
"-107.82","69.04","CAPE PEEL WEST","2400697","2020-03-12","2020","03","12","","-31.1","","-37.8","","-34.4","","52.4","","0.0","","","","","","","","","","","","",""
"-107.82","69.04","CAPE PEEL WEST","2400697","2020-03-13","2020","03","13","","-26.6","","-36.3","","-31.4","","49.4","","0.0","","","","","","","","","","21","","46",""
"-107.82","69.04","CAPE PEEL WEST","2400697","2020-03-14","2020","03","14","","-8.4","","-26.6","","-17.5","","35.5","","0.0","","","","","","","","","","21","","52",""
"-107.82","69.04","CAPE PEEL WEST","2400697","2020-03-15","2020","03","15","","-9.0","","-25.4","","-17.2","","35.2","","0.0","","","","","","","","","","32","","84",""
"-107.82","69.04","CAPE PEEL WEST","2400697","2020-03-16","2020","03","16","","-25.1","","-31.3","","-28.2","","46.2","","0.0","","","","","","","","","","35","","50",""
"-107.82","69.04","CAPE PEEL WEST","2400697","2020-03-17","2020","03","17","","-21.8","","-30.8","","-26.3","","44.3","","0.0","","","","","","","","","","34","","52",""
"-107.82","69.04","CAPE PEEL WEST","2400697","2020-03-18","2020","03","18","","-21.3","","-29.4","","-25.3","","43.3","","0.0","","","","","","","","","","","","",""
"-107.82","69.04","CAPE PEEL WEST","2400697","2020-03-19","2020","03","19","","-20.7","","-31.8","","-26.3","","44.3","","0.0","","","","","","","","","","","","",""
"-107.82","69.04","CAPE PEEL WEST","2400697","2020-03-20","2020","03","20","","","","","","","","","","","","","","","","","","","","","M","","M"
"-107.82","69.04","CAPE PEEL WEST","2400697","2020-03-21","2020","03","21","","-8.2","","-16.0","","-12.1","","30.1","","0.0","","","","","","","","","","","M","","M"
"-107.82","69.04","CAPE PEEL WEST","2400697","2020-03-22","2020","03","22","","-10.2","","-24.2","","-17.2","","35.2","","0.0","","","","","","","","","","33","","59",""
"-107.82","69.04","CAPE PEEL WEST","2400697","2020-03-23","2020","03","23","","-21.5","","-28.9","","-25.2","","43.2","","0.0","","","","","","","","","","32","","65",""
"-107.82","69.04","CAPE PEEL WEST","2400697","2020-03-24","2020","03","24","","-20.1","","-27.7","","-23.9","","41.9","","0.0","","","","","","","","","","28","","50",""
"-107.82","69.04","CAPE PEEL WEST","2400697","2020-03-25","2020","03","25","","-21.7","","-28.1","","-24.9","","42.9","","0.0","","","","","","","","","","5","","31",""
"-107.82","69.04","CAPE PEEL WEST","2400697","2020-03-26","2020","03","26","","-23.7","","-36.6","","-30.1","","48.1","","0.0","","","","","","","","","","1","","55",""
"-107.82","69.04","CAPE PEEL WEST","2400697","2020-03-27","2020","03","27","","-27.7","","-38.2","","-32.9","","50.9","","0.0","","","","","","","","","","34","","55",""
"-107.82","69.04","CAPE PEEL WEST","2400697","2020-03-28","2020","03","28","","-27.9","","-36.9","","-32.4","","50.4","","0.0","","","","","","","","","","31","","48",""
"-107.82","69.04","CAPE PEEL WEST","2400697","2020-03-29","2020","03","29","","-27.6","","-36.8","","-32.2","","50.2","","0.0","","","","","","","","","","30","","35",""
"-107.82","69.04","CAPE PEEL WEST","2400697","2020-03-30","2020","03","30","","-25.6","","-35.7","","-30.6","","48.6","","0.0","","","","","","","","","","31","","33",""
"-107.82","69.04","CAPE PEEL WEST","2400697","2020-03-31","2020","03","31","","-25.6","","-32.7","","-29.1","","47.1","","0.0","","","","","","","","","","","","",""
"-107.82","69.04","CAPE PEEL WEST","2400697","2020-04-01","2020","04","01","","-27.9","","-33.8","","-30.8","","48.8","","0.0","","","","","","","","","","","","",""
"-107.82","69.04","CAPE PEEL WEST","2400697","2020-04-02","2020","04","02","","-23.9","","-34.0","","-28.9","","46.9","","0.0","","","","","","","","","","7","","46",""
"-107.82","69.04","CAPE PEEL WEST","2400697","2020-04-03","2020","04","03","","-14.8","","-26.5","","-20.7","","38.7","","0.0","","","","","","","","","","7","","54",""
"-107.82","69.04","CAPE PEEL WEST","2400697","2020-04-04","2020","04","04","","-14.5","","-20.1","","-17.3","","35.3","","0.0","","","","","","","","","","11","","46",""
"-107.82","69.04","CAPE PEEL WEST","2400697","2020-04-05","2020","04","05","","-16.2","","-25.4","","-20.8","","38.8","","0.0","","","","","","","","","","","","",""
"-107.82","69.04","CAPE PEEL WEST","2400697","2020-04-06","2020","04","06","","-14.9","","-26.5","","-20.7","","38.7","","0.0","","","","","","","","","","","","",""
"-107.82","69.04","CAPE PEEL WEST","2400697","2020-04-07","2020","04","07","","-14.1","","-21.8","","-18.0","","36.0","","0.0","","","","","","","","","","","","",""
"-107.82","69.04","CAPE PEEL WEST","2400697","2020-04-08","2020","04","08","","-12.2","","-20.0","","-16.1","","34.1","","0.0","","","","","","","","","","","M","","M"
"-107.82","69.04","CAPE PEEL WEST","2400697","2020-04-09","2020","04","09","","-13.8","","-20.4","","-17.1","","35.1","","0.0","","","","","","","","","","","","",""
"-107.82","69.04","CAPE PEEL WEST","2400697","2020-04-10","2020","04","10","","-16.4","","-21.3","","-18.9","","36.9","","0.0","","","","","","","","","","35","","39",""
"-107.82","69.04","CAPE PEEL WEST","2400697","2020-04-11","2020","04","11","","-18.2","","-23.6","","-20.9","","38.9","","0.0","","","","","","","","","","34","","55",""
"-107.82","69.04","CAPE PEEL WEST","2400697","2020-04-12","2020","04","12","","-19.7","","-25.7","","-22.7","","40.7","","0.0","","","","","","","","","","33","","57",""
"-107.82","69.04","CAPE PEEL WEST","2400697","2020-04-13","2020","04","13","","-11.4","","-25.3","","-18.3","","36.3","","0.0","","","","","","","","","","31","","35",""
"-107.82","69.04","CAPE PEEL WEST","2400697","2020-04-14","2020","04","14","","-8.6","","-17.2","","-12.9","","30.9","","0.0","","","","","","","","","","31","","44",""
"-107.82","69.04","CAPE PEEL WEST","2400697","2020-04-15","2020","04","15","","-11.0","","-22.0","","-16.5","","34.5","","0.0","","","","","","","","","","31","","48",""
"-107.82","69.04","CAPE PEEL WEST","2400697","2020-04-16","2020","04","16","","-20.3","","-26.9","","-23.6","","41.6","","0.0","","","","","","","","","","33","","31",""
"-107.82","69.04","CAPE PEEL WEST","2400697","2020-04-17","2020","04","17","","-21.1","","-28.6","","-24.8","","42.8","","0.0","","","","","","","","","","33","","50",""
"-107.82","69.04","CAPE PEEL WEST","2400697","2020-04-18","2020","04","18","","-17.8","","-26.2","","-22.0","","40.0","","0.0","","","","","","","","","","33","","55",""
"-107.82","69.04","CAPE PEEL WEST","2400697","2020-04-19","2020","04","19","","-15.9","","-23.6","","-19.7","","37.7","","0.0","","","","","","","","","","32","","39",""
"-107.82","69.04","CAPE PEEL WEST","2400697","2020-04-20","2020","04","20","","-15.3","","-22.4","","-18.8","","36.8","","0.0","","","","","","","","","","32","","39",""
"-107.82","69.04","CAPE PEEL WEST","2400697","2020-04-21","2020","04","21","","-13.8","","-19.1","","-16.4","","34.4","","0.0","","","","","","","","","","","","",""
"-107.82","69.04","CAPE PEEL WEST","2400697","2020-04-22","2020","04","22","","-17.1","","-24.5","","-20.8","","38.8","","0.0","","","","","","","","","","30","","33",""
"-107.82","69.04","CAPE PEEL WEST","2400697","2020-04-23","2020","04","23","","-17.8","","-25.2","","-21.5","","39.5","","0.0","","","","","","","","","","","","",""
"-107.82","69.04","CAPE PEEL WEST","2400697","2020-04-24","2020","04","24","","-20.3","","-26.7","","-23.5","","41.5","","0.0","","","","","","","","","","","","",""
"-107.82","69.04","CAPE PEEL WEST","2400697","2020-04-25","2020","04","25","","-19.3","","-27.6","","-23.5","","41.5","","0.0","","","","","","","","","","27","","35",""
"-107.82","69.04","CAPE PEEL WEST","2400697","2020-04-26","2020","04","26","","-19.3","","-24.9","","-22.1","","40.1","","0.0","","","","","","","","","","26","","33",""
"-107.82","69.04","CAPE PEEL WEST","2400697","2020-04-27","2020","04","27","","-12.7","","-26.2","","-19.4","","37.4","","0.0","","","","","","","","","","19","","35",""
"-107.82","69.04","CAPE PEEL WEST","2400697","2020-04-28","2020","04","28","","-10.3","","-19.8","","-15.1","","33.1","","0.0","","","","","","","","","","28","","31",""
"-107.82","69.04","CAPE PEEL WEST","2400697","2020-04-29","2020","04","29","","-11.3","","-21.2","","-16.2","","34.2","","0.0","","","","","","","","","","33","","39",""
"-107.82","69.04","CAPE PEEL WEST","2400697","2020-04-30","2020","04","30","","-14.9","","-23.9","","-19.4","","37.4","","0.0","","","","","","","","","","33","","33",""
"-107.82","69.04","CAPE PEEL WEST","2400697","2020-05-01","2020","05","01","","-12.5","","-22.2","","-17.4","","35.4","","0.0","","","","","","","","","","","","",""
"-107.82","69.04","CAPE PEEL WEST","2400697","2020-05-02","2020","05","02","","-8.2","","-18.2","","-13.2","","31.2","","0.0","","","","","","","","","","7","","31",""
"-107.82","69.04","CAPE PEEL WEST","2400697","2020-05-03","2020","05","03","","-4.8","","-11.8","","-8.3","","26.3","","0.0","","","","","","","","","","35","","41",""
"-107.82","69.04","CAPE PEEL WEST","2400697","2020-05-04","2020","05","04","","-10.7","","-16.5","","-13.6","","31.6","","0.0","","","","","","","","","","","M","","M"
"-107.82","69.04","CAPE PEEL WEST","2400697","2020-05-05","2020","05","05","","-7.6","","-18.5","","-13.0","","31.0","","0.0","","","","","","","","","","33","","35",""
"-107.82","69.04","CAPE PEEL WEST","2400697","2020-05-06","2020","05","06","","-4.2","","-16.1","","-10.2","","28.2","","0.0","","","","","","","","","","","","",""
"-107.82","69.04","CAPE PEEL WEST","2400697","2020-05-07","2020","05","07","","-1.7","","-12.2","","-7.0","","25.0","","0.0","","","","","","","","","","5","","52",""
"-107.82","69.04","CAPE PEEL WEST","2400697","2020-05-08","2020","05","08","","-12.2","","-21.9","","-17.1","","35.1","","0.0","","","","","","","","","","5","","52",""
"-107.82","69.04","CAPE PEEL WEST","2400697","2020-05-09","2020","05","09","","-13.1","","-22.6","","-17.8","","35.8","","0.0","","","","","","","","","","","","",""
"-107.82","69.04","CAPE PEEL WEST","2400697","2020-05-10","2020","05","10","","-7.9","","-17.3","","-12.6","","30.6","","0.0","","","","","","","","","","26","","31",""
"-107.82","69.04","CAPE PEEL WEST","2400697","2020-05-11","2020","05","11","","-5.9","","-14.2","","-10.0","","28.0","","0.0","","","","","","","","","","7","","50",""
"-107.82","69.04","CAPE PEEL WEST","2400697","2020-05-12","2020","05","12","","-13.3","","-18.6","","-15.9","","33.9","","0.0","","","","","","","","","","5","","42",""
"-107.82","69.04","CAPE PEEL WEST","2400697","2020-05-13","2020","05","13","","-8.2","","-20.2","","-14.2","","32.2","","0.0","","","","","","","","","","35","","44",""
"-107.82","69.04","CAPE PEEL WEST","2400697","2020-05-14","2020","05","14","","-2.0","","-8.7","","-5.3","","23.3","","0.0","","","","","","","","","","35","","35",""
"-107.82","69.04","CAPE PEEL WEST","2400697","2020-05-15","2020","05","15","","-4.7","","-8.2","","-6.4","","24.4","","0.0","","","","","","","","","","6","","48",""
"-107.82","69.04","CAPE PEEL WEST","2400697","2020-05-16","2020","05","16","","-6.4","","-11.1","","-8.8","","26.8","","0.0","","","","","","","","","","8","","61",""
"-107.82","69.04","CAPE PEEL WEST","2400697","2020-05-17","2020","05","17","","-3.8","","-15.7","","-9.7","","27.7","","0.0","","","","","","","","","","","","",""
"-107.82","69.04","CAPE PEEL WEST","2400697","2020-05-18","2020","05","18","","-5.4","","-15.4","","-10.4","","28.4","","0.0","","","","","","","","","","30","","39",""
"-107.82","69.04","CAPE PEEL WEST","2400697","2020-05-19","2020","05","19","","-3.8","","-11.6","","-7.7","","25.7","","0.0","","","","","","","","","","","M","","M"
"-107.82","69.04","CAPE PEEL WEST","2400697","2020-05-20","2020","05","20","","-4.3","","-10.9","","-7.6","","25.6","","0.0","","","","","","","","","","33","","50",""
"-107.82","69.04","CAPE PEEL WEST","2400697","2020-05-21","2020","05","21","","-1.3","","-8.4","","-4.9","","22.9","","0.0","","","","","","","","","","","","",""
"-107.82","69.04","CAPE PEEL WEST","2400697","2020-05-22","2020","05","22","","0.5","","-10.0","","-4.8","","22.8","","0.0","","","","","","","","","","","","",""
"-107.82","69.04","CAPE PEEL WEST","2400697","2020-05-23","2020","05","23","","-4.9","","-12.6","","-8.8","","26.8","","0.0","","","","","","","","","","5","","31",""
"-107.82","69.04","CAPE PEEL WEST","2400697","2020-05-24","2020","05","24","","-6.7","","-9.5","","-8.1","","26.1","","0.0","","","","","","","","","","","","",""
"-107.82","69.04","CAPE PEEL WEST","2400697","2020-05-25","2020","05","25","","","","","","","","","","","","","","","","","","","","","M","","M"
"-107.82","69.04","CAPE PEEL WEST","2400697","2020-05-26","2020","05","26","","","","","","","","","","","","","","","","","","","","","","",""
"-107.82","69.04","CAPE PEEL WEST","2400697","2020-05-27","2020","05","27","","","","","","","","","","","","","","","","","","","","","","",""
"-107.82","69.04","CAPE PEEL WEST","2400697","2020-05-28","2020","05","28","","","","","","","","","","","","","","","","","","","","","","",""
"-107.82","69.04","CAPE PEEL WEST","2400697","2020-05-29","2020","05","29","","","","","","","","","","","","","","","","","","","","","","",""
"-107.82","69.04","CAPE PEEL WEST","2400697","2020-05-30","2020","05","30","","","","","","","","","","","","","","","","","","","","","","",""
"-107.82","69.04","CAPE PEEL WEST","2400697","2020-05-31","2020","05","31","","","","","","","","","","","","","","","","","","","","","","",""
"-107.82","69.04","CAPE PEEL WEST","2400697","2020-06-01","2020","06","01","","","","","","","","","","","","","","","","","","","","","","",""
"-107.82","69.04","CAPE PEEL WEST","2400697","2020-06-02","2020","06","02","","","","","","","","","","","","","","","","","","","","","","",""
"-107.82","69.04","CAPE PEEL WEST","2400697","2020-06-03","2020","06","03","","","","","","","","","","","","","","","","","","","","","","",""
"-107.82","69.04","CAPE PEEL WEST","2400697","2020-06-04","2020","06","04","","","","","","","","","","","","","","","","","","","","","","",""
"-107.82","69.04","CAPE PEEL WEST","2400697","2020-06-05","2020","06","05","","","","","","","","","","","","","","","","","","","","","","",""
"-107.82","69.04","CAPE PEEL WEST","2400697","2020-06-06","2020","06","06","","","","","","","","","","","","","","","","","","","","","","",""
"-107.82","69.04","CAPE PEEL WEST","2400697","2020-06-07","2020","06","07","","","","","","","","","","","","","","","","","","","","","","",""
"-107.82","69.04","CAPE PEEL WEST","2400697","2020-06-08","2020","06","08","","","","","","","","","","","","","","","","","","","","","","",""
"-107.82","69.04","CAPE PEEL WEST","2400697","2020-06-09","2020","06","09","","","","","","","","","","","","","","","","","","","","","","",""
"-107.82","69.04","CAPE PEEL WEST","2400697","2020-06-10","2020","06","10","","","","","","","","","","","","","","","","","","","","","","",""
"-107.82","69.04","CAPE PEEL WEST","2400697","2020-06-11","2020","06","11","","","","","","","","","","","","","","","","","","","","","","",""
"-107.82","69.04","CAPE PEEL WEST","2400697","2020-06-12","2020","06","12","","","","","","","","","","","","","","","","","","","","","","",""
"-107.82","69.04","CAPE PEEL WEST","2400697","2020-06-13","2020","06","13","","","","","","","","","","","","","","","","","","","","","","",""
"-107.82","69.04","CAPE PEEL WEST","2400697","2020-06-14","2020","06","14","","","","","","","","","","","","","","","","","","","","","","",""
