Record,Location,X,Y,Longitude,Latitude,Year,Date,Time,Environment,Road_Surface,Traffic_Control,Collision_Location,Light,Collision_Classification,Impact_type
13,8TH LINE RD @ GLENWOOD DR,385888.54250,5010030.30105,-75.46741,45.22557,2017,2017-08-19,12:44:00 AM,01 - Clear,01 - Dry,10 - No control,02 - Intersection related,07 - Dark,02 - Non-fatal injury,07 - SMV other
14,8TH LINE RD @ MITCH OWENS RD,382361.93290,5018774.68815,-75.51094,45.30464,2017,2017-08-14,5:00:00 PM,01 - Clear,01 - Dry,02 - Stop sign,02 - Intersection related,01 - Daylight,03 - P.D. only,07 - SMV other
15,8TH LINE RD @ MITCH OWENS RD,382363.24283,5018774.69586,-75.51093,45.30464,2017,2017-09-12,4:47:00 PM,01 - Clear,01 - Dry,02 - Stop sign,02 - Intersection related,01 - Daylight,02 - Non-fatal injury,03 - Rear end
16,8TH LINE RD @ MITCH OWENS RD,382361.80636,5018777.87517,-75.51094,45.30467,2017,2017-11-30,4:26:00 PM,01 - Clear,02 - Wet,02 - Stop sign,03 - At intersection,05 - Dusk,03 - P.D. only,05 - Turning movement
17,8TH LINE RD @ MITCH OWENS RD,382361.80636,5018774.91796,-75.51094,45.30464,2017,2017-03-24,9:18:00 PM,03 - Snow,03 - Loose snow,02 - Stop sign,03 - At intersection,07 - Dark,03 - P.D. only,07 - SMV other
18,8TH LINE RD @ PARKWAY RD,383165.52916,5016891.99652,-75.50099,45.28761,2017,2017-06-25,6:16:00 PM,01 - Clear,02 - Wet,02 - Stop sign,03 - At intersection,01 - Daylight,02 - Non-fatal injury,02 - Angle
19,8TH LINE RD @ PARKWAY RD,383166.74125,5016892.17066,-75.50098,45.28761,2017,2017-09-22,5:59:00 PM,01 - Clear,01 - Dry,02 - Stop sign,03 - At intersection,01 - Daylight,01 - Fatal injury,02 - Angle
20,8TH LINE RD @ SPRINGHILL RD,386913.98058,5007335.19084,-75.45479,45.20120,2017,2017-05-14,3:32:00 PM,01 - Clear,01 - Dry,02 - Stop sign,03 - At intersection,01 - Daylight,03 - P.D. only,02 - Angle
21,8TH LINE RD btwn ANDREW SIMPSON DR & BRUCE ST,385271.41528,5011638.05442,-75.47500,45.24010,2017,2017-01-30,8:25:00 AM,01 - Clear,01 - Dry,10 - No control,01 - Non intersection,01 - Daylight,02 - Non-fatal injury,03 - Rear end
22,8TH LINE RD btwn COOPER HILL RD & FOREST GREEN CRES,384041.04310,5014811.55041,-75.49017,45.26880,2017,2017-12-21,5:41:00 PM,01 - Clear,02 - Wet,10 - No control,01 - Non intersection,07 - Dark,03 - P.D. only,07 - SMV other
23,8TH LINE RD btwn MARVELVILLE RD & LAWRENCE ST,387737.81575,5005229.67802,-75.44466,45.18216,2017,2017-07-27,10:55:00 AM,01 - Clear,01 - Dry,10 - No control,01 - Non intersection,01 - Daylight,03 - P.D. only,99 - Other
24,8TH LINE RD btwn MITCH OWENS RD & RODNEY FARM DR,382555.31466,5018345.00533,-75.50854,45.30075,2017,2017-07-31,9:52:00 PM,01 - Clear,01 - Dry,10 - No control,01 - Non intersection,07 - Dark,02 - Non-fatal injury,03 - Rear end
25,8TH LINE RD btwn PANA RD & ANDREW SIMPSON DR,384774.52770,5012974.97505,-75.48112,45.25219,2017,2017-05-18,4:39:00 PM,01 - Clear,01 - Dry,10 - No control,01 - Non intersection,01 - Daylight,03 - P.D. only,07 - SMV other
26,8TH LINE RD btwn PANA RD & ANDREW SIMPSON DR,384864.51831,5012711.93015,-75.48001,45.24981,2017,2017-04-06,10:52:00 AM,01 - Clear,01 - Dry,10 - No control,01 - Non intersection,01 - Daylight,03 - P.D. only,07 - SMV other
27,8TH LINE RD btwn SPRINGHILL RD & MARVELVILLE RD,387003.33245,5007084.66008,-75.45370,45.19893,2017,2017-07-11,12:15:00 PM,01 - Clear,01 - Dry,10 - No control,01 - Non intersection,01 - Daylight,02 - Non-fatal injury,07 - SMV other
28,9TH LINE RD @ VICTORIA ST,387131.38688,5012213.18231,-75.45122,45.24506,2017,2017-09-14,2:46:00 PM,01 - Clear,01 - Dry,02 - Stop sign,03 - At intersection,01 - Daylight,03 - P.D. only,02 - Angle
29,AARON AVE btwn CARLING AVE & LENESTER AVE,362166.07500,5025847.42129,-75.76763,45.37022,2017,2017-04-04,8:15:00 PM,02 - Rain,02 - Wet,10 - No control,01 - Non intersection,05 - Dusk,03 - P.D. only,06 - SMV unattended vehicle
30,ABBEYHILL DR @ CASTLEFRANK RD,353223.51580,5017259.13334,-75.88263,45.29362,2017,2017-06-02,8:57:00 AM,01 - Clear,01 - Dry,02 - Stop sign,03 - At intersection,01 - Daylight,02 - Non-fatal injury,02 - Angle
31,ABBEYHILL DR @ EAGLESON RD,353827.56558,5018035.01294,-75.87485,45.30056,2017,2017-10-20,8:57:00 AM,01 - Clear,01 - Dry,01 - Traffic signal,02 - Intersection related,01 - Daylight,03 - P.D. only,03 - Rear end
32,ABBEYHILL DR @ SURREY LANE,353673.10680,5017965.46430,-75.87683,45.29994,2017,2017-12-12,10:24:00 AM,03 - Snow,05 - Packed snow,02 - Stop sign,02 - Intersection related,01 - Daylight,03 - P.D. only,03 - Rear end
33,ABBEYHILL DR btwn OLD COLONY RD & BALBAIR RD,353492.38954,5017735.27023,-75.87916,45.29788,2017,2017-04-29,1:36:00 PM,01 - Clear,01 - Dry,10 - No control,04 - At/near private drive,01 - Daylight,03 - P.D. only,99 - Other
34,ABBEYHILL DR btwn SURREY LANE & EAGLESON RD,353730.31950,5017996.88916,-75.87610,45.30022,2017,2017-01-23,7:21:00 AM,02 - Rain,02 - Wet,10 - No control,04 - At/near private drive,03 - Dawn,03 - P.D. only,02 - Angle
35,ABBOTT ST @ GRANITE RIDGE DR,351484.20222,5014433.24423,-75.90507,45.26831,2017,2017-06-29,3:15:00 PM,02 - Rain,02 - Wet,02 - Stop sign,03 - At intersection,01 - Daylight,03 - P.D. only,02 - Angle
36,ABBOTT ST @ GRANITE RIDGE DR,351484.70035,5014435.91683,-75.90506,45.26833,2017,2017-12-14,3:00:00 PM,01 - Clear,02 - Wet,02 - Stop sign,03 - At intersection,01 - Daylight,02 - Non-fatal injury,02 - Angle
37,ABBOTT ST @ IBER RD,351978.54139,5014878.75271,-75.89873,45.27228,2017,2017-09-21,10:40:00 AM,01 - Clear,01 - Dry,10 - No control,02 - Intersection related,01 - Daylight,03 - P.D. only,03 - Rear end
38,ABBOTT ST @ IBER RD,351979.74764,5014877.73389,-75.89871,45.27227,2017,2017-11-26,2:41:00 PM,02 - Rain,02 - Wet,10 - No control,02 - Intersection related,01 - Daylight,03 - P.D. only,03 - Rear end
39,ABBOTT ST @ SHEA RD,351157.88374,5014145.97268,-75.90926,45.26574,2017,2017-04-18,9:43:00 PM,01 - Clear,01 - Dry,02 - Stop sign,02 - Intersection related,07 - Dark,03 - P.D. only,07 - SMV other
40,ABBOTT ST @ STITTSVILLE MAIN ST,350251.79186,5013330.78397,-75.92088,45.25847,2017,2017-05-25,7:07:00 AM,01 - Clear,01 - Dry,01 - Traffic signal,03 - At intersection,01 - Daylight,03 - P.D. only,07 - SMV other
41,ABBOTT ST @ STITTSVILLE MAIN ST,350248.91875,5013330.74800,-75.92091,45.25847,2017,2017-06-30,12:16:00 PM,02 - Rain,02 - Wet,01 - Traffic signal,02 - Intersection related,01 - Daylight,02 - Non-fatal injury,03 - Rear end
42,ABBOTT ST @ STITTSVILLE MAIN ST,350248.58430,5013330.93900,-75.92092,45.25847,2017,2017-09-16,12:45:00 PM,01 - Clear,01 - Dry,01 - Traffic signal,02 - Intersection related,01 - Daylight,03 - P.D. only,99 - Other
43,ABBOTT ST W @ WEST RIDGE DR,349644.78874,5012784.41530,-75.92866,45.25359,2017,2017-06-25,4:13:00 PM,02 - Rain,02 - Wet,02 - Stop sign,02 - Intersection related,01 - Daylight,02 - Non-fatal injury,03 - Rear end
44,ABERDEEN ST @ PRESTON ST,366651.36025,5029341.56260,-75.70994,45.40128,2017,2017-06-17,11:15:00 AM,01 - Clear,01 - Dry,02 - Stop sign,03 - At intersection,01 - Daylight,03 - P.D. only,02 - Angle
45,ABERDEEN ST @ PRESTON ST,366651.69470,5029340.32803,-75.70993,45.40127,2017,2017-02-15,12:00:00 AM,03 - Snow,03 - Loose snow,02 - Stop sign,02 - Intersection related,00 - Unknown,03 - P.D. only,06 - SMV unattended vehicle
46,ABERFOYLE CIRC btwn Continuation of ABERFOYLE CIRC & Continuation of A,350459.86389,5024070.95687,-75.91724,45.35510,2017,2017-05-28,12:00:00 AM,01 - Clear,01 - Dry,10 - No control,01 - Non intersection,00 - Unknown,03 - P.D. only,06 - SMV unattended vehicle
47,ABERFOYLE CIRC btwn Continuation of ABERFOYLE CIRC & Continuation of A,350495.74110,5023988.28237,-75.91679,45.35435,2017,2017-07-28,12:00:00 AM,01 - Clear,01 - Dry,10 - No control,04 - At/near private drive,00 - Unknown,03 - P.D. only,06 - SMV unattended vehicle
48,ABETTI RIDGE btwn ESPIN HTS & JOCKVALE RD,365053.34800,5013471.10400,-75.73228,45.25862,2017,2017-01-07,5:47:00 PM,01 - Clear,06 - Ice,10 - No control,01 - Non intersection,07 - Dark,03 - P.D. only,06 - SMV unattended vehicle
49,ACACIA AVE @ BEECHWOOD AVE,369635.04205,5033941.25901,-75.67122,45.44240,2017,2017-07-14,7:47:00 AM,01 - Clear,01 - Dry,02 - Stop sign,03 - At intersection,01 - Daylight,02 - Non-fatal injury,05 - Turning movement
50,ACACIA AVE @ MARIPOSA AVE,369401.72512,5034679.62695,-75.67411,45.44906,2017,2017-12-28,10:20:00 AM,01 - Clear,05 - Packed snow,02 - Stop sign,03 - At intersection,01 - Daylight,03 - P.D. only,02 - Angle
51,ACACIA AVE @ ROCKCLIFFE PKWY,368702.72602,5035534.24602,-75.68293,45.45681,2017,2017-05-14,9:30:00 PM,02 - Rain,02 - Wet,02 - Stop sign,02 - Intersection related,07 - Dark,03 - P.D. only,07 - SMV other
52,ACACIA AVE @ ROCKCLIFFE PKWY,368704.39482,5035533.26761,-75.68291,45.45681,2017,2017-02-08,9:08:00 AM,03 - Snow,06 - Ice,02 - Stop sign,02 - Intersection related,01 - Daylight,03 - P.D. only,01 - Approaching
53,ACACIA AVE btwn RIDEAU TER & OAKHILL RD,369542.27274,5034190.34102,-75.67238,45.44465,2017,2017-04-14,3:41:00 PM,01 - Clear,01 - Dry,10 - No control,01 - Non intersection,01 - Daylight,03 - P.D. only,06 - SMV unattended vehicle
54,ACCEPTANCE PL @ HOPE SIDE RD,356552.33500,5015257.14660,-75.84040,45.27537,2017,2017-09-24,4:30:00 AM,01 - Clear,01 - Dry,,02 - Intersection related,07 - Dark,03 - P.D. only,07 - SMV other
55,ACKLAM TER btwn AYTON LANE & AYTON LANE,349725.97816,5023305.10343,-75.92667,45.34825,2017,2017-02-21,12:00:00 AM,01 - Clear,01 - Dry,10 - No control,01 - Non intersection,00 - Unknown,03 - P.D. only,06 - SMV unattended vehicle
56,ADAMSON CRES btwn WEST RIDGE DR N & WEST RIDGE DR S,349731.58900,5012185.90900,-75.92761,45.24820,2017,2017-05-31,1:05:00 PM,01 - Clear,01 - Dry,10 - No control,04 - At/near private drive,01 - Daylight,03 - P.D. only,06 - SMV unattended vehicle
57,ADELINE ST @ PRESTON ST,366778.69706,5029049.88560,-75.70835,45.39864,2017,2017-02-18,12:46:00 PM,01 - Clear,04 - Slush,02 - Stop sign,03 - At intersection,01 - Daylight,03 - P.D. only,06 - SMV unattended vehicle
58,ADELINE ST @ PRESTON ST,366780.03485,5029049.21671,-75.70833,45.39864,2017,2017-02-12,6:40:00 PM,03 - Snow,03 - Loose snow,02 - Stop sign,03 - At intersection,07 - Dark,03 - P.D. only,02 - Angle
59,ADELINE ST @ PRESTON ST,366779.70040,5029051.78907,-75.70833,45.39866,2017,2017-02-08,11:20:00 AM,01 - Clear,04 - Slush,02 - Stop sign,02 - Intersection related,01 - Daylight,03 - P.D. only,06 - SMV unattended vehicle
60,ADIRONDACK DR @ IRIS ST,362132.69344,5024317.84519,-75.76824,45.35646,2017,2017-11-22,3:01:00 PM,01 - Clear,01 - Dry,02 - Stop sign,02 - Intersection related,01 - Daylight,03 - P.D. only,03 - Rear end
61,ADIRONDACK DR @ WOODROFFE AVE,362457.68531,5024005.51216,-75.76412,45.35362,2017,2017-05-04,1:31:00 PM,01 - Clear,01 - Dry,02 - Stop sign,02 - Intersection related,01 - Daylight,03 - P.D. only,03 - Rear end
62,ADIRONDACK DR @ WOODROFFE AVE,362456.68266,5024003.50541,-75.76414,45.35361,2017,2017-06-30,8:53:00 PM,01 - Clear,02 - Wet,02 - Stop sign,02 - Intersection related,05 - Dusk,02 - Non-fatal injury,03 - Rear end
63,ADIRONDACK DR @ WOODROFFE AVE,362456.60052,5024004.69799,-75.76414,45.35362,2017,2017-10-10,11:07:00 AM,01 - Clear,01 - Dry,02 - Stop sign,03 - At intersection,01 - Daylight,03 - P.D. only,03 - Rear end
64,ADIRONDACK DR @ WOODROFFE AVE,362458.15937,5024005.27541,-75.76412,45.35362,2017,2017-09-24,1:11:00 PM,01 - Clear,01 - Dry,02 - Stop sign,02 - Intersection related,01 - Daylight,03 - P.D. only,03 - Rear end
65,ADMIRAL AVE @ ANNA AVE,365153.94843,5027266.14710,-75.72932,45.38274,2017,2017-02-08,10:22:00 AM,01 - Clear,02 - Wet,02 - Stop sign,02 - Intersection related,01 - Daylight,03 - P.D. only,06 - SMV unattended vehicle
66,AERO DR @ HOLLY ACRES RD,358341.22395,5023230.01467,-75.81674,45.34697,2017,2017-04-12,6:13:00 PM,01 - Clear,01 - Dry,01 - Traffic signal,03 - At intersection,01 - Daylight,03 - P.D. only,04 - Sideswipe
67,AGES DR @ HAWTHORNE RD,374971.74120,5027717.53580,-75.60390,45.38588,2017,2017-08-08,2:30:00 PM,01 - Clear,01 - Dry,01 - Traffic signal,02 - Intersection related,01 - Daylight,03 - P.D. only,05 - Turning movement
68,AGES DR @ HAWTHORNE RD,374971.26783,5027718.71923,-75.60391,45.38589,2017,2017-12-20,4:05:00 PM,01 - Clear,01 - Dry,01 - Traffic signal,03 - At intersection,05 - Dusk,03 - P.D. only,03 - Rear end
69,AGES DR btwn LEGACY RD & HAWTHORNE RD,374675.33428,5027551.30085,-75.60771,45.38442,2017,2017-08-30,2:24:00 PM,01 - Clear,01 - Dry,10 - No control,04 - At/near private drive,01 - Daylight,03 - P.D. only,02 - Angle
70,AGES DR btwn LEGACY RD & HAWTHORNE RD,374915.21946,5027683.42209,-75.60463,45.38558,2017,2017-04-06,2:27:00 PM,02 - Rain,02 - Wet,10 - No control,04 - At/near private drive,01 - Daylight,03 - P.D. only,02 - Angle
71,AGES DR btwn SWANSEA CRES & LEGACY RD,374338.34245,5027476.33840,-75.61202,45.38378,2017,2017-05-30,1:43:00 PM,02 - Rain,02 - Wet,10 - No control,04 - At/near private drive,01 - Daylight,03 - P.D. only,02 - Angle
72,AGES DR btwn SWANSEA CRES & LEGACY RD,374195.14488,5027360.31013,-75.61387,45.38275,2017,2017-07-06,10:10:00 AM,01 - Clear,01 - Dry,10 - No control,01 - Non intersection,01 - Daylight,02 - Non-fatal injury,07 - SMV other
73,AGES DR btwn SWANSEA CRES & LEGACY RD,374170.33454,5027322.58787,-75.61419,45.38241,2017,2017-07-06,10:23:00 AM,01 - Clear,01 - Dry,10 - No control,01 - Non intersection,01 - Daylight,03 - P.D. only,04 - Sideswipe
74,AGINCOURT RD @ MAITLAND AVE,363447.64903,5025451.97055,-75.75132,45.36656,2017,2017-07-25,7:18:00 PM,01 - Clear,01 - Dry,02 - Stop sign,02 - Intersection related,01 - Daylight,03 - P.D. only,06 - SMV unattended vehicle
75,AGINCOURT RD @ MAITLAND AVE,363446.82248,5025450.59759,-75.75133,45.36655,2017,2017-08-08,10:09:00 AM,01 - Clear,01 - Dry,02 - Stop sign,02 - Intersection related,01 - Daylight,03 - P.D. only,03 - Rear end
76,AGINCOURT RD @ MAITLAND AVE,363447.15997,5025450.76359,-75.75133,45.36655,2017,2017-12-19,2:12:00 PM,03 - Snow,04 - Slush,02 - Stop sign,02 - Intersection related,01 - Daylight,03 - P.D. only,02 - Angle
77,AHEARN AVE btwn CROFT ST & FARROW ST,359544.27068,5024743.65598,-75.80122,45.36050,2017,2017-03-30,9:00:00 AM,01 - Clear,01 - Dry,10 - No control,01 - Non intersection,01 - Daylight,03 - P.D. only,06 - SMV unattended vehicle
78,AINSLEY DR btwn ERINDALE DR & AMESBROOKE DR,363822.56811,5024660.78933,-75.74663,45.35941,2017,2017-11-14,12:00:00 AM,01 - Clear,01 - Dry,10 - No control,01 - Non intersection,00 - Unknown,03 - P.D. only,06 - SMV unattended vehicle
79,AINSLEY DR btwn FERGUSON ST & GAGE CRES,363443.44073,5024514.04334,-75.75148,45.35812,2017,2017-04-20,8:46:00 AM,01 - Clear,01 - Dry,10 - No control,04 - At/near private drive,01 - Daylight,03 - P.D. only,05 - Turning movement
80,AIRPORT PARKWAY PRIV @ AIR CARGO PRIV,370593.93287,5020833.42364,-75.66071,45.32437,2017,2017-07-28,5:11:00 PM,01 - Clear,01 - Dry,02 - Stop sign,03 - At intersection,01 - Daylight,03 - P.D. only,02 - Angle
81,AIRPORT PARKWAY PRIV @ AIR CARGO PRIV,370592.94403,5020832.43336,-75.66073,45.32436,2017,2017-02-17,4:31:00 PM,01 - Clear,02 - Wet,02 - Stop sign,03 - At intersection,01 - Daylight,03 - P.D. only,05 - Turning movement
82,AIRPORT PARKWAY PRIV @ AIR CARGO PRIV,370593.96990,5020833.69400,-75.66071,45.32437,2017,2017-04-14,1:50:00 PM,01 - Clear,01 - Dry,02 - Stop sign,02 - Intersection related,01 - Daylight,02 - Non-fatal injury,07 - SMV other
83,AIRPORT PARKWAY PRIV btwn Continuation of AIRPORT PARKWAY PRIV & TO BE,370262.38937,5020608.46073,-75.66497,45.32237,2017,2017-04-21,3:13:00 AM,02 - Rain,02 - Wet,10 - No control,01 - Non intersection,07 - Dark,03 - P.D. only,07 - SMV other
84,AIRPORT PKWY @ HUNT CLUB RD,371019.53134,5023701.66041,-75.65490,45.35013,2017,2017-05-25,7:23:00 PM,02 - Rain,02 - Wet,01 - Traffic signal,02 - Intersection related,01 - Daylight,03 - P.D. only,04 - Sideswipe
85,AIRPORT PKWY @ HUNT CLUB RD,371019.53134,5023703.66710,-75.65490,45.35015,2017,2017-06-13,9:15:00 AM,01 - Clear,01 - Dry,01 - Traffic signal,02 - Intersection related,01 - Daylight,03 - P.D. only,03 - Rear end
86,AIRPORT PKWY @ HUNT CLUB RD,371018.86245,5023703.66710,-75.65491,45.35015,2017,2017-05-05,4:14:00 PM,02 - Rain,02 - Wet,01 - Traffic signal,02 - Intersection related,01 - Daylight,02 - Non-fatal injury,03 - Rear end
87,AIRPORT PKWY @ HUNT CLUB RD,371018.63184,5023703.71413,-75.65491,45.35015,2017,2017-08-13,12:35:00 PM,01 - Clear,01 - Dry,01 - Traffic signal,02 - Intersection related,01 - Daylight,02 - Non-fatal injury,03 - Rear end
88,AIRPORT PKWY @ HUNT CLUB RD,371018.52800,5023702.72683,-75.65492,45.35014,2017,2017-10-12,6:44:00 AM,01 - Clear,01 - Dry,01 - Traffic signal,02 - Intersection related,03 - Dawn,03 - P.D. only,03 - Rear end
89,AIRPORT PKWY @ HUNT CLUB RD,371019.00590,5023703.71505,-75.65491,45.35015,2017,2017-09-20,3:30:00 PM,01 - Clear,01 - Dry,01 - Traffic signal,02 - Intersection related,01 - Daylight,03 - P.D. only,03 - Rear end
90,AIRPORT PKWY @ HUNT CLUB RD,371018.04949,5023704.07801,-75.65492,45.35016,2017,2017-09-16,7:00:00 PM,01 - Clear,01 - Dry,01 - Traffic signal,02 - Intersection related,01 - Daylight,03 - P.D. only,04 - Sideswipe
91,AIRPORT PKWY @ HUNT CLUB RD,371019.07445,5023703.54465,-75.65491,45.35015,2017,2017-10-07,8:07:00 PM,01 - Clear,01 - Dry,01 - Traffic signal,02 - Intersection related,07 - Dark,03 - P.D. only,01 - Approaching
92,AIRPORT PKWY @ HUNT CLUB RD,371018.86245,5023702.99820,-75.65491,45.35015,2017,2017-11-15,1:28:00 PM,01 - Clear,01 - Dry,01 - Traffic signal,02 - Intersection related,01 - Daylight,02 - Non-fatal injury,03 - Rear end
93,AIRPORT PKWY @ HUNT CLUB RD,371019.47475,5023702.76151,-75.65490,45.35014,2017,2017-11-22,8:07:00 PM,01 - Clear,01 - Dry,01 - Traffic signal,02 - Intersection related,07 - Dark,02 - Non-fatal injury,03 - Rear end
94,AIRPORT PKWY @ HUNT CLUB RD,371019.53134,5023702.32930,-75.65490,45.35014,2017,2017-12-11,5:14:00 PM,01 - Clear,01 - Dry,01 - Traffic signal,02 - Intersection related,07 - Dark,03 - P.D. only,03 - Rear end
95,AIRPORT PKWY @ HUNT CLUB RD,371019.76257,5023706.70190,-75.65490,45.35018,2017,2017-02-10,2:26:00 PM,01 - Clear,01 - Dry,01 - Traffic signal,02 - Intersection related,01 - Daylight,03 - P.D. only,03 - Rear end
96,AIRPORT PKWY @ HUNT CLUB RD,371018.52863,5023702.99883,-75.65492,45.35015,2017,2017-02-12,12:03:00 AM,03 - Snow,05 - Packed snow,01 - Traffic signal,02 - Intersection related,07 - Dark,03 - P.D. only,99 - Other
97,AIRPORT PKWY @ HUNT CLUB RD,371018.52800,5023702.45175,-75.65492,45.35014,2017,2017-01-05,2:22:00 PM,01 - Clear,06 - Ice,01 - Traffic signal,02 - Intersection related,01 - Daylight,03 - P.D. only,04 - Sideswipe
98,AIRPORT PKWY @ HUNT CLUB RD,371018.53416,5023702.98280,-75.65492,45.35015,2017,2017-02-15,9:12:00 AM,03 - Snow,03 - Loose snow,01 - Traffic signal,03 - At intersection,01 - Daylight,02 - Non-fatal injury,03 - Rear end
99,AIRPORT PKWY @ HUNT CLUB RD,371018.52800,5023705.57331,-75.65491,45.35017,2017,2017-01-05,2:42:00 PM,01 - Clear,06 - Ice,01 - Traffic signal,02 - Intersection related,01 - Daylight,03 - P.D. only,07 - SMV other
100,AIRPORT PKWY @ HUNT CLUB RD,371019.38637,5023701.28146,-75.65490,45.35013,2017,2017-01-05,8:20:00 AM,01 - Clear,06 - Ice,01 - Traffic signal,02 - Intersection related,01 - Daylight,03 - P.D. only,04 - Sideswipe
101,AIRPORT PKWY @ HUNT CLUB RD,371019.38637,5023703.85657,-75.65490,45.35015,2017,2017-01-13,2:48:00 PM,01 - Clear,01 - Dry,01 - Traffic signal,02 - Intersection related,01 - Daylight,03 - P.D. only,04 - Sideswipe
102,AIRPORT PKWY @ HUNT CLUB RD,371019.53134,5023702.99820,-75.65490,45.35015,2017,2017-03-15,7:51:00 AM,03 - Snow,04 - Slush,01 - Traffic signal,02 - Intersection related,01 - Daylight,03 - P.D. only,03 - Rear end
103,AIRPORT PKWY @ HUNT CLUB RD,371018.86245,5023702.32930,-75.65491,45.35014,2017,2017-04-19,1:31:00 PM,02 - Rain,02 - Wet,01 - Traffic signal,02 - Intersection related,01 - Daylight,03 - P.D. only,04 - Sideswipe
104,AIRPORT PKWY @ HUNT CLUB RD,371019.00590,5023702.75925,-75.65491,45.35014,2017,2017-12-21,8:38:00 AM,01 - Clear,06 - Ice,01 - Traffic signal,02 - Intersection related,01 - Daylight,03 - P.D. only,03 - Rear end
105,AIRPORT PKWY @ UPLANDS DR RAMP 62,371299.43423,5021621.59720,-75.65161,45.33139,2017,2017-10-30,3:20:00 AM,02 - Rain,02 - Wet,03 - Yield sign,02 - Intersection related,07 - Dark,03 - P.D. only,04 - Sideswipe
106,AIRPORT PKWY btwn AIRPORT PKWY/HUNT CLUB RAMP 42 & WALKLEY RD NB RAMP,370459.62767,5024531.82745,-75.66194,45.35766,2017,2017-12-18,3:59:00 AM,01 - Clear,01 - Dry,10 - No control,01 - Non intersection,07 - Dark,03 - P.D. only,07 - SMV other
107,AIRPORT PKWY btwn AIRPORT PKWY/WALKLEY RD SOUTHBOUND ON RAMP,370192.55065,5025326.24572,-75.66524,45.36483,2017,2017-11-01,5:20:00 PM,02 - Rain,02 - Wet,10 - No control,01 - Non intersection,05 - Dusk,02 - Non-fatal injury,03 - Rear end
108,AIRPORT PKWY btwn AIRPORT PKWY/WALKLEY RD SOUTHBOUND ON RAMP,370185.03839,5025343.30666,-75.66533,45.36498,2017,2017-03-08,12:23:00 PM,02 - Rain,02 - Wet,10 - No control,01 - Non intersection,01 - Daylight,03 - P.D. only,03 - Rear end
